capital,x,y
Jammu,-143 ,268
Leh,-77 ,278
Chandigarh,-134 ,200
Shimla,-85 ,216
Dehradun,-46 ,177
Jaipur,-164 ,95
Delhi,-117 ,154
Lucknow,-17 ,98
Patna,101 ,64
Gandhinagar,-229, 15
Bhopal,-83 ,7
Ranchi,95, 6
Kolkata,156, -4
Mumbai,-240, -80
Goa,-215,-180
Raipur,12, -47
Bhubaneshwar,85, -64
Bengaluru,-149, -250
Hyderabad,-69, -143
Amravati,-26, -174
Thiruvananthapuram,-130,-354
Chennai,-77, -292
Gangtok,164, 109
Itanagar,260, 108
Dispur,262, 84
Shillong,248, 58
Kohima,311, 76
Imphal,300, 42
Aizwal,276, 11
Agartala,230, 17
